2^N,serial,optimized,parallel
5,0.000,0.003,0.003
6,0.000,0.002,0.006
7,0.000,0.005,0.006
8,0.000,0.003,0.011
9,0.000,0.002,0.035
10,0.001,0.004,0.151
11,0.002,0.003,0.706
12,0.007,0.005
13,0.029,0.009
14,0.113,0.028
15,0.113,0.028
16,0.495,0.075
17,2.209,0.339
