# TIMES=11
serial,optimized,parallel
0.002,0.005,0.582
0.002,0.002,0.730
0.002,0.008,0.529
0.002,0.009,0.602
0.002,0.006,0.723
0.002,0.007,0.988
0.002,0.012,1.582

# THREADS=4
0.000,0.001,0.000
0.000,0.001,0.003
0.000,0.001,0.005
0.000,0.003,0.010
0.000,0.007,0.034
0.000,0.004,0.133
0.002,0.003,0.633
0.007,0.005,...
0.029,0.007,...
0.121,0.027,...
0.497,0.083,...
